0.9322502952	library
0.9257101967	brewery
0.9230230843	verde
0.9209679499	masala
0.9182683534	indulge
0.9180073127	village
0.9177453944	coach
0.9175327594	bud
0.9172594690	avenue
0.9169853416	chick
0.9164656968	grind
0.9157331436	twitter
0.9155564176	hospital
0.9152957293	cuban
0.9152256279	lee's
0.9151553860	parmesan
0.9147263700	rainbow
0.9145083465	hangover
0.9143859091	taiwan
0.9143709222	fitness
0.9142895994	flamenco
0.9140359091	priest
0.9139571613	trail
0.9135110052	cowboy
0.9132122280	quesadilla
0.9127229328	huckleberry
0.9126608187	farms
0.9121616079	stew
0.9120736566	fever
0.9119214727	belgian
0.9119179346	latin
0.9118295639	gruyere
0.9118245458	ribeye
0.9117884918	university
0.9117816510	hall
0.9115595474	yelper
0.9110889094	lifetime
0.9110816525	tom's
0.9106403175	capitol
0.9104918331	meatball
0.9103712727	western
0.9102044372	tinga
0.9101554641	cholla
0.9101375431	chaparral
0.9101129541	parlor
0.9097551279	national
0.9094960683	church
0.9093255626	fondue
0.9092509198	express
0.9092188215	diamond
0.9091912948	cook's
0.9090510118	dutch
0.9089059811	jasmine
0.9088662593	swiss
0.9087765134	mole
0.9087694051	sourdough
0.9086093653	queso
0.9085360809	ford
0.9085109228	pizzeria
0.9084888249	pro
0.9084706665	tiramisu
0.9083663013	caprese
0.9082688710	latte
0.9082577205	villas
0.9082254311	courtyard
0.9082114922	trolley
0.9080303281	chimichanga
0.9080062931	australian
0.9079699663	szechwan
0.9078052521	margarita
0.9078021506	creole
0.9077452398	giants
0.9075978706	ale
0.9074483931	peruvian
0.9073838514	cho
0.9073221230	ceviche
0.9072216953	gyro
0.9070719496	hula
0.9070560418	sonoma
0.9070305660	logan's
0.9070133935	dragon
0.9069855881	sangria
0.9069207220	essence
0.9069080109	cow
0.9068002606	casa
0.9067963558	vegas
0.9067817811	citizen
0.9067690206	greyhound
0.9067069149	barrio
0.9066585194	amigos
0.9066456880	baja
0.9066121745	elote
0.9066058951	mother's
0.9065907820	moroccan
0.9065656184	gel
0.9065115070	rocket
0.9065109714	cappuccino
0.9064372461	bible
0.9064002606	canal
0.9063517226	beau
0.9063336913	bunny
0.9063323728	grandma's
0.9062571064	jean
0.9062313113	brazilian
0.9060801074	press
0.9059591079	cherry
0.9059062432	cajun
0.9058352220	pier
0.9057796088	arts
0.9056895208	flatiron
0.9056809180	bratwurst
0.9056749635	islands
0.9055981287	mon
0.9055772105	oriental
0.9054467883	tempura
0.9053862072	kobe
0.9053295346	border
0.9053290323	queens
0.9053234461	crown
0.9051067097	facebook
0.9050603830	chop
0.9050522539	melrose
0.9050506734	mercedes
0.9049677454	aveda
0.9049428209	nancy
0.9049302905	gold
0.9048629062	hound
0.9048025919	schnitzel
0.9047443676	brat
0.9047317533	voodoo
0.9047092324	outlet
0.9045940862	flaming
0.9045061445	zin
0.9045007084	flatbread
0.9044807220	institute
0.9044357897	antipasto
0.9044275919	panko
0.9043516105	barbacoa
0.9043373034	duck
0.9042854480	wok
0.9041913715	saturdays
0.9041779562	olympic
0.9041072930	kate
0.9039293698	monkey
0.9038918388	lobby
0.9038521042	benedict
0.9036947230	jewish
0.9036174836	laser
0.9035247980	mississippi
0.9034251861	celiac
0.9034207232	pacific
0.9034200858	imperial
0.9033508620	german
0.9033017827	dos
0.9032689091	cali
