0.8693105706	abc
0.8621929178	nato
0.8615057948	dna
0.8610962849	nbc
0.8605695232	gop
0.8602026722	baghdad
0.8592403893	jerusalem
0.8585457592	iii
0.8585312453	cairo
0.8577212600	nairobi
0.8575084901	geneva
0.8568668962	amsterdam
0.8559601558	hsbc
0.8544385272	usa
0.8542724184	qunu
0.8541175820	shanghai
0.8538850490	cia
0.8530687546	honolulu
0.8529678660	istanbul
0.8527140260	tripoli
0.8524037136	juba
0.8521003297	albany
0.8520745321	uk
0.8519698132	bangkok
0.8518978901	fifa
0.8516696613	cnn
0.8512312324	vienna
0.8512043168	dvd
0.8509193370	johannesburg
0.8505240183	cbs
0.8499638022	manila
0.8499415260	opec
0.8497076660	dubai
0.8496311743	nhl
0.8495893419	rome
0.8490565205	ss
0.8487163414	brussels
0.8485866539	anc
0.8482562140	milan
0.8477621429	beirut
0.8477409725	jakarta
0.8471160815	llc
0.8470475091	mlb
0.8467772340	gaza
0.8466230902	xi
0.8461530372	melbourne
0.8460837050	pbs
0.8459477401	cornell
0.8459254556	columbus
0.8457473648	taipei
0.8455618272	hiv
0.8455511044	richmond
0.8454565829	bart
0.8453791113	bangui
0.8452091465	pg
0.8449621044	isil
0.8448496865	newark
0.8447110229	pc
0.8446840001	espn
0.8440634979	seoul
0.8439124094	ubs
0.8436942842	lincoln
0.8436490036	tegucigalpa
0.8436127007	nfl
0.8429188568	clarence
0.8428827567	wellington
0.8427529060	vw
0.8426833839	tsa
0.8425435036	iv
0.8425220514	hartford
0.8424248203	warsaw
0.8423690267	kiev
0.8421929995	wichita
0.8421322788	amc
0.8420249407	sacramento
0.8419996464	gdp
0.8418567637	newtown
0.8417553055	havana
0.8415923956	suv
0.8415050929	adm
0.8412861257	georgetown
0.8411961778	singapore
0.8410404001	berlin
0.8410307759	td
0.8409641983	indianapolis
0.8406846653	madrid
0.8404981618	edf
0.8398948766	fm
0.8394722671	dhaka
0.8392040451	fx
0.8391802951	dc
0.8387721601	lgbt
0.8385208040	rbs
0.8384060991	bae
0.8382246951	princeton
0.8381763778	nsa
0.8381378682	brasilia
0.8380724912	sana
0.8380525612	oakland
0.8379708961	plc
0.8379654714	lagos
0.8379596685	rb
0.8376652522	gm
0.8374487062	kampala
0.8373339172	tokyo
0.8373083065	cska
0.8371922998	peshawar
0.8369634977	prague
0.8369631338	qb
0.8369378922	dublin
0.8368700291	mgm
0.8368656305	lisbon
0.8366277555	nba
0.8364646067	oslo
0.8362203633	bucharest
0.8361991245	cw
0.8361898510	bethlehem
0.8361882077	pmi
0.8361519206	montreal
0.8358608182	ge
0.8355353388	gps
0.8354258161	ipo
